2018-09-02 23:11:55 [Worker-26] INFO  jul - HibernatePlugin Started
2018-09-02 23:52:09 [Worker-32] INFO  jul - XNIO version 3.3.4.Final
2018-09-02 23:52:09 [Worker-57] INFO  jul - XNIO NIO Implementation Version 3.3.4.Final
2018-09-02 23:52:10 [Worker-57] INFO  jul - JBoss Remoting version 4.0.18.Final
2018-09-04 15:44:13 [Worker-30] INFO  jul - HibernatePlugin Started
2018-09-09 10:55:56 [Worker-55] INFO  jul - XNIO version 3.3.4.Final
2018-09-09 10:55:57 [Worker-55] INFO  jul - XNIO NIO Implementation Version 3.3.4.Final
2018-09-09 10:55:58 [Worker-55] INFO  jul - JBoss Remoting version 4.0.18.Final
2018-09-11 10:01:12 [Worker-31] INFO  jul - XNIO version 3.3.4.Final
2018-09-11 10:01:12 [Worker-31] INFO  jul - XNIO NIO Implementation Version 3.3.4.Final
2018-09-11 10:01:13 [Worker-34] INFO  jul - JBoss Remoting version 4.0.18.Final
2018-09-12 20:45:18 [Worker-67] INFO  jul - I/O exception (java.net.SocketException) caught when connecting to {}->http://dist.springsource.com:80: Network is unreachable: connect
2018-09-12 20:45:18 [Worker-67] INFO  jul - Retrying connect to {}->http://dist.springsource.com:80
2018-09-12 20:45:18 [Worker-66] INFO  jul - I/O exception (java.net.SocketException) caught when connecting to {s}->https://spring.io:443: Network is unreachable: connect
2018-09-12 20:45:18 [Worker-66] INFO  jul - Retrying connect to {s}->https://spring.io:443
2018-09-12 20:45:18 [Worker-67] INFO  jul - I/O exception (java.net.SocketException) caught when connecting to {}->http://dist.springsource.com:80: Network is unreachable: connect
2018-09-12 20:45:18 [Worker-67] INFO  jul - Retrying connect to {}->http://dist.springsource.com:80
2018-09-12 20:45:18 [Worker-66] INFO  jul - I/O exception (java.net.SocketException) caught when connecting to {s}->https://spring.io:443: Network is unreachable: connect
2018-09-12 20:45:18 [Worker-66] INFO  jul - Retrying connect to {s}->https://spring.io:443
